"source_tab","section","event_count"
"Charts","Queue - Radio","6808"
"Search","Playlists - Electrónica","6703"
"Search","Playlists - Salle de sport","6511"
"Charts","My Library - Mix Stations","6415"
"Browse","Playlists - Afrosounds Playlists","6318"
"Search","Playlists - Gimnasia","6116"
"My Library","My Library Search - Playlists","6071"
,"Top Albums","5933"
"Browse","Playlists - Gospel Playlists","5912"
,"Queue - Radio","5810"
"Feed","Similar Playlists","5730"
,"Player - More from artist","5601"
"Feed","Search - All Music","5580"
,"Playlists - Afrosounds","5534"
"Playlists","Playlists - Hip-Hop","5485"
,"Browse - Popular Playlists Near You Playlists","5464"
"Browse","Browse - Top Albums","5345"
,"Browse - Popular Playlists in Liberia Playlists","5182"
"Playlists","Playlists - Gospel","5176"
"Charts","Profile - Recent Songs","5136"
,"Browse - Top Albums","5034"
,"/my-library/feed","4926"
"Playlists","Playlists - Best of the Week","4923"
"Browse","Browse - Rock Playlists Playlists","4859"
,"Profile - Re-Ups","4741"
,"Browse - What's New Playlists","4730"
"Browse","Browse - Popular Playlists in Nigeria Playlists","4539"
,"Browse - Afrosounds Playlists Playlists","4419"
,"/login","4413"
"Feed","Browse - Recommendations","4303"
"Playlists","Profile - Top Songs","4164"
,"Playlists - Offline Music","4161"
"Search","Playlists - Hip Hop","4151"
"Playlists","Playlists - Discovery Series","4064"
"Feed","Notifications","4058"
"Search","Widget","4047"
"Charts","Queue","4015"
"Feed","Queue - Radio","3937"
,"Profile - Uploads","3912"
"Browse","Playlists - ","3878"
"Playlists","Playlists - Moods","3854"
"Search","Charts - Top Songs","3844"
"Charts","Browse - Recommendations","3813"
"My Library","Queue - Geo-Restricted","3723"
"Browse","Browse - Recently Supported","3640"
,"Playlists","3633"
"Browse","Search - Top Songs","3574"
"Browse","Browse - Popular Playlists in Ghana Playlists","3556"
"Browse","Charts - Top Songs","3519"
"Search","Playlists - Faire la fête","3471"
"My Library","Notifications","3399"
"Browse","Playlists - Hip-Hop Playlists","3373"
,"My Library Uploads","3251"
"Charts","Search - All Music","3222"
"Search","Playlists - Se sentir bien","3186"
"Browse","Profile - Top Albums","3097"
,"Widget","2987"
"Playlists","Playlists - R&B","2950"
"My Library","My Library - Offline Playlists","2867"
,"/chupitoelpame/song","2863"
,"Playlists - Tastemaker Spotlight ","2861"
"Search","Playlists - Relajar","2787"
"Playlists","Player - Radio","2760"
"Search","Playlists - Caraïbes","2728"
,"My Library - Re-Ups","2662"
"My Library","Profile - Top Albums","2642"
"Search","Browse - Trending Songs","2609"
"Search","Playlists - Academia","2605"
"Browse","Search - Songs","2588"
,"Playlists - What's New","2576"
,"Browse - Gospel Playlists Playlists","2572"
,"Browse - Hip-Hop Playlists Playlists","2567"
"Playlists","Playlists - Global: Weekly 100","2459"
,"Smart Share Link","2446"
,"My Library - Uploads","2444"
"Playlists","Playlists - Best of 2024","2405"
,"Browse - Offline Playlists","2309"
"Charts","Deeplink","2309"
"Browse","Queue - Geo-Restricted","2289"
"Playlists","Profile - Highlights","2267"
"Browse","Playlists - R&B Playlists","2265"
"Search","Browse - Playlists You Might Like Playlists","2214"
"Playlists","Playlists - #ThisIsPiano","2184"
"My Library","Browse - Trending Songs","2171"
"Feed","Queue","2171"
"Browse","Browse - Top Supported","2073"
,"/jaadores/song","2046"
"Playlists","Playlist Details","2008"
,"Playlists - Best of the Week","1903"
"My Library","Charts - Top Songs","1852"
,"/g1ocatore/song","1831"
,"Browse - Popular Playlists in Tanzania Playlists","1819"
"Playlists","Playlists - Chill","1781"
"Playlists","Profile - Recent Albums","1762"
,"/rap/trending-now/songs","1760"
,"/officialmnib/album","1756"
"Browse","Browse - Playlists Near You Playlists","1744"
,"Playlists - Gospel","1714"
"Search","Playlists - Electrónico","1670"
"My Library","Search - Songs","1668"
"Playlists","Playlists - Feel Good","1577"
"Playlists","Playlists - Caribbean","1557"
"Search","Queue - Geo-Restricted","1549"
"Playlists","Playlists - Love","1548"
"Browse","Profile - Supported","1530"
,"Playlists - Hip-Hop","1523"
,"/afrobeats/trending-now/songs","1509"
"Playlists","Playlists - Sad","1508"
,"Playlists - Moods","1505"
"Search","Playlists - Sentirse bien","1501"
"Search","Playlists - Électronique","1472"
,"/marla-malvins/song","1472"
"Search","Profile - Supported","1471"
