"artist","title","geo_country","plays","engagements"
"T-Classic feat. Mayorkun","Fall In Love","NG","3976","22"
"Raw Cashh","K-Play","JM","2327","22"
"Dxtiny","Uncle Pele","SL","6167","22"
"Mac DeMarco","Another One","US","1370","22"
"Jaz Karis & Kenyon Dixon","LYTM (Remix)","NG","1645","22"
"Kraff Gad & Urban Team","Party Cup","JM","5703","21"
"Malie Donn   feat. Dan Sky & Attomatic","Trap House","JM","8137","21"
"Red Leather","THE ONLY TIME IT RAINS IN HOLLYWOOD","US","1261","21"
"Destroy Lonely","In The Air","US","1455","21"
"Dj Spark Fire","Highlife Igbo Mixtape (DJ Mix)","NG","1079","21"
