"artist","title","total_plays","total_engagements","unique_users","geo_country","geo_region"
"Danfo Drivers","Danfo Driver (Hip Hop Mix)","2419","17","1997","NG","LA"
"Mitski","My Love Mine All Mine","219","16","107","US","NJ"
"Buta","Lilo & Stitch","4293","16","1434","XK",
"DJ Storm featuring U.S.D.A. and Young Jeezy","White Girl (feat. U.S.D.A. & Young Jeezy)","1","16","1","US","LA"
"Adamu Hassan Nagudu","Gasa","2","16","1","NG","LA"
"Dafina Zeqiri & Mossi","Prit","3461","16","2045","XK",
"Eddy G Bomba & Cash Code","Luigi","9707","16","6582","JM",
"Siicie & Lasmid","Do You Know?","2795","16","2473","LR",
"Kuami Eugene","No More","3275","16","2915","GH","AA"
"Ruth B. & Dean Lewis","28 (with Dean Lewis)","4354","16","3233","NG","OY"
"Mac DeMarco","For the First Time","1103","16","418","US","TX"
"Dafina Zeqiri","Ta Dish","2815","16","1516","AL","11"
"Inès Raguël","Je Tombe","3018","16","2583","LR","MO"
"Anike feat. Bayo & Yele","WITH YOU","1012","16","999","GH","AA"
"Ceo Guccii","No Buttonz","894","16","271","US","TX"
"Jahmiel","Greatness Is All I Know","3172","16","2383","GH","AA"
"Erma","DYANA","2359","16","2046","LR",
"Erma","DYANA","2647","16","2323","LR","MO"
"Squash","Know Bout Dat","794","15","206","CA","ON"
"C Stunna & Real Boston Richey","Lose Control","857","15","531","US","FL"
"Tekno","Pana","2012","15","1635","NG","LA"
"Ayetian","Bagga Rrr","3058","15","1980","TT","POS"
"LilBenny","Shattered Backboard","1346","15","380","US","NC"
"Kuami Eugene","Wish Me Well","2746","15","2398","GH","AA"
